"Summary","Issue Type","Description","Priority","Labels","Epic Name","Epic Link","Story Points"
"SYS-01: Server-side commercial engine (RB-017, §13)","Epic","Server-side engine recomputes all monetary totals before persist/approve; UI values are advisory only.","Highest","poms,system","Server-side Commercial Engine","","8"
"Sub-task: Engine unit tests vs FRS §13.3 worked example (SYS-01)","Sub-task","Property-based tests: Levi's ₹650/40%/10%/80 must equal ₹65,520.00 exactly. Trace: SYS-01.","High","poms,qa","","Server-side Commercial Engine",""
"Sub-task: Persistence + recompute integration test (SYS-01)","Sub-task","Persisted values equal recomputed engine output; UI-supplied totals are ignored. Trace: SYS-01.","High","poms,qa","","Server-side Commercial Engine",""
"SYS-02: Historical snapshot engine (§20.3, RB-003)","Epic","Snapshot engine freezes brand/product/colour/size/dealer display values into every PO at approval/issue; masters may evolve freely afterwards.","Highest","poms,system","Historical Snapshot Engine","","5"
"Sub-task: Engine unit tests vs FRS §13.3 worked example (SYS-02)","Sub-task","Property-based tests: Levi's ₹650/40%/10%/80 must equal ₹65,520.00 exactly. Trace: SYS-02.","High","poms,qa","","Historical Snapshot Engine",""
"Sub-task: Persistence + recompute integration test (SYS-02)","Sub-task","Persisted values equal recomputed engine output; UI-supplied totals are ignored. Trace: SYS-02.","High","poms,qa","","Historical Snapshot Engine",""
"SA-01: As a Super Admin, I want to create divisions and assign Domain Admins to them, so that each branch operates in a controlled scope","Story","Acceptance criteria: Given I am Super Admin, when I create division ""Belagavi"" with a unique code, then it appears active and selectable only for assigned users. Cross-division access returns 403 and is audit-logged. Trace: §5, §6, RB-001 | MoSCoW: Must","High","poms,super-admin,sa-01","","","5"
"Sub-task: Backend — SA-01","Sub-task","API + business rules for SA-01 (§5, §6, RB-001), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — SA-01","Sub-task","UI support for SA-01 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — SA-01 acceptance","Sub-task","Given/When/Then: Given I am Super Admin, when I create division ""Belagavi"" with a unique code, then it appears active and selectable only for assigned users. Cross-division access returns 403 and is audit-logged.","High","poms,qa","","",""
"SA-02: As a Super Admin, I want to configure approval rules by value/division/section/dealer/discount thresholds, so that governance adapts without code changes","Story","Acceptance criteria: Given rule ""₹25,001–₹1,00,000 → Division Manager"", when a PO of ₹80,000 is submitted, then it routes to Division Manager only. Trace: §14 | MoSCoW: Must","High","poms,super-admin,sa-02","","","5"
"Sub-task: Backend — SA-02","Sub-task","API + business rules for SA-02 (§14), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — SA-02","Sub-task","UI support for SA-02 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
"Sub-task: QA — SA-02 acceptance","Sub-task","Given/When/Then: Given rule ""₹25,001–₹1,00,000 → Division Manager"", when a PO of ₹80,000 is submitted, then it routes to Division Manager only.","High","poms,qa","","",""
"SA-03: As a Super Admin, I want to get one consolidated dashboard across all 3 divisions with drill-down, so that I get enterprise-wide visibility","Story","Acceptance criteria: KPIs aggregate all divisions; clicking a division filters without reload; load < 3s (§23). Trace: §16.1, SC-7 | MoSCoW: Must","High","poms,super-admin,sa-03","","","5"
"Sub-task: Backend — SA-03","Sub-task","API + business rules for SA-03 (§16.1, SC-7), permission-gated and audit-logged.","High","poms,backend","","",""
"Sub-task: Frontend — SA-03","Sub-task","UI support for SA-03 per §19 UX standards (no dead buttons, no fake metrics).","High","poms,frontend","","",""
